37989.8447918607	50	2	3096	-104	-125	657	2875	
37989.8447918617	50	-1	2709	-96	-124	571	1988	
37989.8447918627	50	-6	2623	-97	-112	154	1318	
37989.8447918637	50	5	2666	-102	-97	232	870	
37989.8447918647	51	11	2494	-105	-107	692	5102	
37989.8447918657	51	-13	2451	-106	-100	670	7623	
37989.8447918667	49	-3	2494	-106	-85	721	2391	
37989.8447918677	49	0	2408	-101	-92	467	2020	
37989.8447918687	51	15	1849	-85	-133	831	3379	
37989.8447918697	52	-6	1720	-77	-168	115	734	
37989.8447918707	50	-5	1591	-80	-156	744	3487	
37989.8447918717	50	1	1763	-88	-112	815	2128	
37989.8447918727	52	15	2666	-101	-134	750	3249	
37989.8447918737	54	9	3268	8	-167	764	5832	
37989.8447918747	56	9	3354	-102	-204	764	13877	
37989.8447918757	56	-8	3182	-103	-233	703	14251	
37989.8447918767	55	-7	2666	-104	-265	492	6136	
37989.8447918777	53	-15	2580	-106	-309	653	5955	
37989.8447918787	50	-9	2580	-106	-303	594	5300	
37989.8447918797	48	-10	2494	-108	-313	557	2737	
37989.8447918807	46	-16	2408	-77	-296	646	3548	
37989.8447918817	42	-22	2666	-108	-241	767	3034	
37989.8447918827	37	-39	2881	50	-196	829	2750	
37989.8447918837	26	-26	2967	50	-126	851	1596	
37989.8447918847	2	14	2193	-109	-48	268	1440	
37989.8447918857	2	-10	2279	-108	-38	331	2869	
37989.8447918867	2	2	3010	50	-30	362	1165	
37989.8447918877	3	13	3655	-109	-20	527	1721	
37989.8447918887	4	-5	2150	-108	-38	477	1204	
37989.8447918897	5	17	1462	-109	-88	235	1723	
37989.8447918907	6	-10	1548	-104	-65	464	2841	
37989.8447918917	31	19	4687	50	0	807	1100	
